category,branch,path,chunk,offset,virtual_offset,stored,original,compression,encryption0,encryption1,record_index,hash,chunk_group,chunk_part,chunk_index
spine_effect,main,effect/fei_30048_ux_bg2_6.scsp,base_b05_0.ssrc,63596400,1193790960,4960,5990,1,0,0,37774,789aab622f8a9063,18,5,57
spine_effect,main,effect/fei_30048_ux_bg2_6.sct,base_b07_0.ssrc,60310288,1625106928,317435,329878,1,0,0,63401,ca7aa415ebf87ce5,18,7,59
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_b.atlas,base_b14_0.ssrc,82284080,2892645984,3089,13930,1,0,0,1864,060c38ecd2d4f6f8,18,14,65
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_b.scsp,base_b17_0.ssrc,81960704,3560631552,244928,271469,1,0,0,10439,21ac23720ec8ee15,18,17,68
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_b.sct,base_b06_0.ssrc,53273024,1419762688,344632,362955,1,0,0,57399,b7edf3f5ca0fba9c,18,6,58
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_f.atlas,base_b16_0.ssrc,50383184,3303386992,724,2661,1,0,0,12965,29be7a619473fdf4,18,16,67
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_f.scsp,base_13_s13_b01_0.ssrc,34863856,34889792,106857,122369,1,0,0,49543,9ebcaebb50336fe1,17,1,48
spine_effect,main,effect/fei_30048_ux_bg2_bangsang_f.sct,base_b17_0.ssrc,82205632,3560876480,152572,161757,1,0,0,66402,d44383d6fb8a08d3,18,17,68
effect_cfx,main,effect/fei_30048_ux_bg3.cfx,base_b09_0.ssrc,73812256,2042121536,447,3234,1,0,0,44400,8e22f72d002f03c7,18,9,61
spine_effect,main,effect/fei_30048_ux_bg3_1.atlas,base_b11_0.ssrc,63090416,2442925344,942,4270,1,0,0,53604,ac05a8569dd41be1,18,11,63
spine_effect,main,effect/fei_30048_ux_bg3_1.scsp,base_b09_0.ssrc,73812704,2042121984,82616,89909,1,0,0,46126,93ac79e929878199,18,9,61
spine_effect,main,effect/fei_30048_ux_bg3_1.sct,base_b02_0.ssrc,70665536,544633856,127519,134135,1,0,0,47806,98f208342afe9f32,18,2,54
spine_effect,main,effect/fei_30048_ux_bg3_2.atlas,base_b04_0.ssrc,81479136,963170336,310,870,1,0,0,63765,cbb2930285808d5c,18,4,56
spine_effect,main,effect/fei_30048_ux_bg3_2.scsp,base_b00_0.ssrc,54919520,54919520,3524,3981,1,0,0,51132,a40efbe8bb765c8e,18,0,52
spine_effect,main,effect/fei_30048_ux_bg3_2.sct,base_b07_0.ssrc,60627728,1625424368,116399,120466,1,0,0,17712,38c942ce89401f6b,18,7,59
spine_effect,main,effect/fei_30048_ux_bg3_3_1.atlas,base_b14_0.ssrc,82287184,2892649088,608,5062,1,0,0,57580,b87bb904a576f02a,18,14,65
spine_effect,main,effect/fei_30048_ux_bg3_3_1.scsp,base_b08_0.ssrc,64525648,1844763136,3966,5246,1,0,0,53885,aceea51209801af8,18,8,60
spine_effect,main,effect/fei_30048_ux_bg3_3_1.sct,base_b08_0.ssrc,64529616,1844767104,54085,57744,1,0,0,23848,4cad3bc031dfc5a4,18,8,60
spine_effect,main,effect/fei_30048_ux_bg3_3_2.atlas,base_b05_0.ssrc,63601360,1193795920,592,5402,1,0,0,43173,8a48a4792e980cf5,18,5,57
spine_effect,main,effect/fei_30048_ux_bg3_3_2.scsp,base_13_s13_b01_0.ssrc,34970720,34996656,9336,11047,1,0,0,12323,27a0523ba2f4b501,17,1,48
spine_effect,main,effect/fei_30048_ux_bg3_3_2.sct,base_b16_0.ssrc,50383920,3303387728,106035,117168,1,0,0,75955,f3211397749340e6,18,16,67
spine_effect,main,effect/fei_30048_ux_bg3_4.atlas,base_b12_0.ssrc,68505696,2662525472,1405,11601,1,0,0,49038,9d21fcd8b5b4f868,18,12,64
spine_effect,main,effect/fei_30048_ux_bg3_4.scsp,base_b16_0.ssrc,50489968,3303493776,31232,41259,1,0,0,49896,9fec1592bee5ff88,18,16,67
spine_effect,main,effect/fei_30048_ux_bg3_4.sct,base_b06_0.ssrc,53617664,1420107328,160213,170311,1,0,0,36879,75d87eb362730556,18,6,58
spine_effect,main,effect/fei_30048_ux_bg3_5_1.atlas,base_b16_0.ssrc,50521200,3303525008,432,1506,1,0,0,46496,94dc9bdfcecb266e,18,16,67
spine_effect,main,effect/fei_30048_ux_bg3_5_1.scsp,base_b16_0.ssrc,50521632,3303525440,25690,40442,1,0,0,22569,4894df4e162728f0,18,16,67
spine_effect,main,effect/fei_30048_ux_bg3_5_1.sct,base_b14_0.ssrc,82287792,2892649696,100917,106613,1,0,0,55816,b2e41a593cb8d952,18,14,65
spine_effect,main,effect/fei_30048_ux_bg3_5_2.atlas,base_b12_0.ssrc,68507104,2662526880,577,2169,1,0,0,44051,8d093677ab831892,18,12,64
spine_effect,main,effect/fei_30048_ux_bg3_5_2.scsp,base_b01_0.ssrc,81464016,314259616,20697,25119,1,0,0,66814,d591297a85be0261,18,1,53
spine_effect,main,effect/fei_30048_ux_bg3_5_2.sct,base_b11_0.ssrc,63091360,2442926288,198352,202919,1,0,0,41509,84edc582fa440afd,18,11,63
spine_effect,main,effect/fei_30048_ux_bg3_5_3.atlas,base_b04_0.ssrc,81479456,963170656,368,1194,1,0,0,47310,97542af864f96aec,18,4,56
spine_effect,main,effect/fei_30048_ux_bg3_5_3.scsp,base_b01_0.ssrc,81484720,314280320,4118,4738,1,0,0,40671,82083ee4a35e211b,18,1,53
spine_effect,main,effect/fei_30048_ux_bg3_5_3.sct,base_b14_0.ssrc,82388720,2892750624,613417,620562,1,0,0,32670,689d5dc42b56c766,18,14,65
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_b.atlas,base_b09_0.ssrc,73895328,2042204608,2847,12853,1,0,0,74207,ed3c495c6a5be563,18,9,61
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_b.scsp,base_b11_0.ssrc,63289712,2443124640,211219,235305,1,0,0,36970,7622204cadda7247,18,11,63
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_b.sct,base_b02_0.ssrc,70793056,544761376,227531,236843,1,0,0,33830,6c08ab066c918750,18,2,54
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_f.atlas,base_b14_0.ssrc,83002144,2893364048,207,325,1,0,0,1030,03636a1c100ed84e,18,14,65
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_f.scsp,base_b17_0.ssrc,82358208,3561029056,65114,74335,1,0,0,8229,1a9fdebd1ad86541,18,17,68
spine_effect,main,effect/fei_30048_ux_bg3_bangsang_f.sct,base_b03_0.ssrc,55610880,736758384,13270,13967,1,0,0,18761,3c4da56fad0e0ac5,18,3,55
spine_effect,main,effect/fei_30048_ux_bg3_cha.atlas,base_b09_0.ssrc,73898176,2042207456,1208,4982,1,0,0,77335,f7b1416e2c194a8f,18,9,61
spine_effect,main,effect/fei_30048_ux_bg3_cha.scsp,base_b14_0.ssrc,83002352,2893364256,69899,77281,1,0,0,59905,bf9a6571291c3442,18,14,65
spine_effect,main,effect/fei_30048_ux_bg3_cha.sct,base_b12_0.ssrc,68507696,2662527472,48194,50751,1,0,0,29596,5eefef8291543698,18,12,64
particle_config,main,effect/fei_30048_ux_bg3_pat1.particle,base_b15_0.ssrc,83315936,3116266640,1375,13443,1,0,0,24373,4e518f062e9f578d,18,15,66
spine_effect,main,effect/fei_30048_ux_screen_1.atlas,base_b08_0.ssrc,64583712,1844821200,183,455,1,0,0,67119,d68eada0e1b888e8,18,8,60
effect_cfx,main,effect/fei_30048_ux_screen_1.cfx,base_b12_0.ssrc,68555904,2662575680,354,1049,1,0,0,46077,937eafeb601ae156,18,12,64
spine_effect,main,effect/fei_30048_ux_screen_1.scsp,base_b03_0.ssrc,55625280,736772784,13426,14911,1,0,0,7285,17a65d76de781499,18,3,55
spine_effect,main,effect/fei_30048_ux_screen_1.sct,base_b11_0.ssrc,63500944,2443335872,129101,137439,1,0,0,58951,bcc8e16792bfe68d,18,11,63
spine_effect,main,effect/fei_30048_ux_screen_2.atlas,base_b02_0.ssrc,71020928,544989248,606,3104,1,0,0,7534,1875dc51df75781e,18,2,54
spine_effect,main,effect/fei_30048_ux_screen_2.scsp,base_b10_0.ssrc,64697360,2244908656,3769,4752,1,0,0,30723,628edabdee88044a,18,10,62
spine_effect,main,effect/fei_30048_ux_screen_2.sct,base_b10_0.ssrc,64701136,2244912432,188777,198803,1,0,0,1809,05e42e85f2750d7e,18,10,62
spine_effect,main,effect/fei_30048_ux_screen_3.atlas,base_b01_0.ssrc,81488848,314284448,505,1839,1,0,0,44937,8fdc20fd4a7ca843,18,1,53
spine_effect,main,effect/fei_30048_ux_screen_3.scsp,base_b14_0.ssrc,83195936,2893557840,6250,7517,1,0,0,44603,8ec70af8307af646,18,14,65
spine_effect,main,effect/fei_30048_ux_screen_3.sct,base_13_s13_b01_0.ssrc,34980064,35006000,100314,105134,1,0,0,3537,0b55c7cd85905d49,17,1,48
effect_cfx,main,effect/fei_30048_ux_self_1_b.cfx,base_b07_0.ssrc,60764640,1625561280,292,723,1,0,0,14991,2ffa52d1a66bd243,18,7,59
spine_effect,main,effect/fei_30048_ux_self_1_b_1.atlas,base_b12_0.ssrc,68556560,2662576336,352,1622,1,0,0,21121,43d14ccf6b525c18,18,12,64
spine_effect,main,effect/fei_30048_ux_self_1_b_1.scsp,base_b17_0.ssrc,82426048,3561096896,2906,3483,1,0,0,28204,5aa13fa7897b6d1f,18,17,68
spine_effect,main,effect/fei_30048_ux_self_1_b_1.sct,base_b17_0.ssrc,82428960,3561099808,108017,114702,1,0,0,13982,2cce2b70c37fd093,18,17,68
spine_effect,main,effect/fei_30048_ux_self_1_b_2.atlas,base_b16_0.ssrc,50547328,3303551136,664,4671,1,0,0,63292,ca1a5d316d2a2ccc,18,16,67
spine_effect,main,effect/fei_30048_ux_self_1_b_2.scsp,base_b17_0.ssrc,82536992,3561207840,51030,55392,1,0,0,40654,81f656683e95e595,18,17,68
spine_effect,main,effect/fei_30048_ux_self_1_b_2.sct,base_b17_0.ssrc,82588032,3561258880,95832,103845,1,0,0,22095,470cb096007ea72f,18,17,68
effect_cfx,main,effect/fei_30048_ux_self_1_f.cfx,base_b16_0.ssrc,50548000,3303551808,316,1369,1,0,0,36393,74474dc77e308130,18,16,67
spine_effect,main,effect/fei_30048_ux_self_1_f_1.atlas,base_b11_0.ssrc,63630416,2443465344,549,3562,1,0,0,74392,ede07262821505df,18,11,63
spine_effect,main,effect/fei_30048_ux_self_1_f_1.scsp,base_b10_0.ssrc,64889920,2245101216,67276,76062,1,0,0,14008,2ce65120482157b8,18,10,62
spine_effect,main,effect/fei_30048_ux_self_1_f_1.sct,base_b01_0.ssrc,81489360,314284960,82244,88356,1,0,0,27586,58c2d5e4e1d20709,18,1,53
spine_effect,main,effect/fei_30048_ux_self_1_f_2.atlas,base_b05_0.ssrc,63607312,1193801872,551,3253,1,0,0,15614,31ff6f7b1db00c09,18,5,57
spine_effect,main,effect/fei_30048_ux_self_1_f_2.scsp,base_b17_0.ssrc,82683872,3561354720,83710,91161,1,0,0,75971,f32fd619883aee49,18,17,68
spine_effect,main,effect/fei_30048_ux_self_1_f_2.sct,base_b04_0.ssrc,81479824,963171024,114580,124019,1,0,0,26833,5664f4db4f073136,18,4,56
spine_effect,main,effect/fei_30048_ux_self_1_f_3.atlas,base_b09_0.ssrc,73901520,2042210800,593,3929,1,0,0,36725,75568aff29209e49,18,9,61
spine_effect,main,effect/fei_30048_ux_self_1_f_3.scsp,base_b15_0.ssrc,83317312,3116268016,69563,75021,1,0,0,33379,6ab8708d8d0a299f,18,15,66
spine_effect,main,effect/fei_30048_ux_self_1_f_3.sct,base_b04_0.ssrc,81594416,963285616,105013,114018,1,0,0,19547,3ed573307a2ee11c,18,4,56
spine_effect,main,effect/fei_30048_ux_self_1_f_4.atlas,base_b02_0.ssrc,71021536,544989856,469,3226,1,0,0,29163,5d9b3fb8c739b092,18,2,54
spine_effect,main,effect/fei_30048_ux_self_1_f_4.scsp,base_b17_0.ssrc,82767584,3561438432,22713,24991,1,0,0,63861,cc04883424d50467,18,17,68
spine_effect,main,effect/fei_30048_ux_self_1_f_4.sct,base_b09_0.ssrc,73902128,2042211408,61617,66429,1,0,0,61211,c3961986df9850d9,18,9,61
spine_effect,main,effect/fei_30048_ux_self_1_glow.atlas,base_b00_0.ssrc,55990864,55990864,442,6635,1,0,0,28506,5b90d8ff2005d1ce,18,0,52
spine_effect,main,effect/fei_30048_ux_self_1_glow.scsp,base_b10_0.ssrc,64957200,2245168496,14943,17750,1,0,0,17934,398f6b812798cbd4,18,10,62
spine_effect,main,effect/fei_30048_ux_self_1_glow.sct,base_b15_0.ssrc,83386880,3116337584,104235,112992,1,0,0,32416,67c99ccf4135a7a7,18,15,66
spine_effect,main,effect/fei_30048_ux_self_2_b.atlas,base_b04_0.ssrc,81699440,963390640,657,3033,1,0,0,44622,8ed981776e240bf2,18,4,56
effect_cfx,main,effect/fei_30048_ux_self_2_b.cfx,base_b15_0.ssrc,83491120,3116441824,272,456,1,0,0,65614,d1ccf0db5c526175,18,15,66
spine_effect,main,effect/fei_30048_ux_self_2_b.scsp,base_b06_0.ssrc,53778400,1420268064,30426,34527,1,0,0,20884,42fc3c389fd603e4,18,6,58
spine_effect,main,effect/fei_30048_ux_self_2_b.sct,base_b01_0.ssrc,81571616,314367216,156508,162052,1,0,0,1468,04dab19fbf1d7077,18,1,53
spine_effect,main,effect/fei_30048_ux_self_2_f.atlas,base_b14_0.ssrc,83202192,2893564096,727,3324,1,0,0,41229,83ee4690e6640dae,18,14,65
effect_cfx,main,effect/fei_30048_ux_self_2_f.cfx,base_b04_0.ssrc,81700112,963391312,279,506,1,0,0,30003,6039366aa3dec548,18,4,56
spine_effect,main,effect/fei_30048_ux_self_2_f.scsp,base_b16_0.ssrc,50548320,3303552128,24399,28241,1,0,0,2668,08a09569b5ec9bc0,18,16,67
spine_effect,main,effect/fei_30048_ux_self_2_f.sct,base_b11_0.ssrc,63630976,2443465904,200472,209925,1,0,0,70246,e08a1f5f54e9b455,18,11,63
spine_effect,main,effect/mika_1039_skill_x_screen_hk3.atlas,base_b02_0.ssrc,84627632,558595952,168,211,1,0,0,78413,fb459c9d1a0ff31e,18,2,54
spine_effect,main,effect/mika_1039_skill_x_screen_hk3.scsp,base_b10_0.ssrc,78253312,2258464608,823,960,1,0,0,50690,a29c92a5204bbf64,18,10,62
spine_effect,main,effect/mika_1039_skill_x_screen_hk3.sct,base_b10_0.ssrc,78254144,2258465440,184,459,1,0,0,18351,3afac1b1c665b7ce,18,10,62
spine_effect,main,effect/screen_fx_electricity_screen_01_2.atlas,base_b00_0.ssrc,81849040,81849040,604,3644,1,0,0,66359,d41bc0e8c892a352,18,0,52
spine_effect,main,effect/screen_fx_electricity_screen_01_2.scsp,base_b01_0.ssrc,107484432,340280032,9443,11007,1,0,0,46361,94734b336f159cef,18,1,53
spine_effect,main,effect/screen_fx_electricity_screen_01_2.sct,base_b03_0.ssrc,82216944,763364448,391507,416974,1,0,0,12556,285520d3c6ddd121,18,3,55
spine_effect,main,effect/screen_fx_electricity_screen_02_1.atlas,base_b07_0.ssrc,87724576,1652521216,595,4029,1,0,0,38192,79e5c315ea89a9c5,18,7,59
spine_effect,main,effect/screen_fx_electricity_screen_02_1.scsp,base_b00_0.ssrc,81849648,81849648,10044,12197,1,0,0,62565,c7e6a7fce3a60664,18,0,52
spine_effect,main,effect/screen_fx_electricity_screen_02_1.sct,base_b03_0.ssrc,82608464,763755968,145277,154692,1,0,0,28287,5ae9b171250ad833,18,3,55
effect_cfx,main,effect/screen_fx_electricity_screen_03.cfx,base_b14_0.ssrc,103374464,2913736368,281,518,1,0,0,11460,24dce2ab0ccac5c0,18,14,65
spine_effect,main,effect/screen_fx_electricity_screen_03_1.atlas,base_b04_0.ssrc,110989216,992680416,821,4720,1,0,0,26102,540927315a6afdf4,18,4,56
spine_effect,main,effect/screen_fx_electricity_screen_03_1.scsp,base_b05_0.ssrc,88942752,1219137312,9865,11850,1,0,0,64868,cf71fe1877fd46c3,18,5,57
spine_effect,main,effect/screen_fx_electricity_screen_03_1.sct,base_b04_0.ssrc,110990048,992681248,438982,469292,1,0,0,52008,a6e7b0df2f8531f8,18,4,56
effect_cfx,main,effect/screen_fx_electricity_screen_ground_02.cfx,base_13_s13_b01_0.ssrc,46559216,46585152,298,750,1,0,0,67478,d7b4d850561c8361,17,1,48
effect_cfx,main,effect/screen_fx_electricity_target_01.cfx,base_b08_0.ssrc,92514192,1872751680,383,1851,1,0,0,58677,bbea63e0d2523dea,18,8,60
spine_effect,main,effect/screen_fx_electricity_target_01_b.atlas,base_b10_0.ssrc,85981408,2266192704,891,4887,1,0,0,55695,b262427b02360ede,18,10,62
spine_effect,main,effect/screen_fx_electricity_target_01_b.scsp,base_b05_0.ssrc,88952624,1219147184,14925,16898,1,0,0,54513,aec6c5b8d2c1a801,18,5,57
spine_effect,main,effect/screen_fx_electricity_target_01_b.sct,base_b09_0.ssrc,97831856,2066141136,444819,472164,1,0,0,63145,c9b49f6a1f3ee6ab,18,9,61
spine_effect,main,effect/screen_fx_electricity_target_01_f.atlas,base_b14_0.ssrc,103375744,2913737648,1488,9828,1,0,0,69060,dc950547dd74b892,18,14,65
spine_effect,main,effect/screen_fx_electricity_target_01_f.scsp,base_b15_0.ssrc,110676576,3143627280,30225,35260,1,0,0,69171,dcfb7d9a1cdaae93,18,15,66
spine_effect,main,effect/screen_fx_electricity_target_01_f.sct,base_b09_0.ssrc,98276688,2066585968,873201,928750,1,0,0,22643,48d9a8a35f38e2ad,18,9,61
effect_cfx,main,effect/screen_fx_water_wo_02.cfx,base_b15_0.ssrc,110738864,3143689568,441,1501,1,0,0,42078,86ae1c44b78e7869,18,15,66
spine_effect,main,effect/screen_water_fx_all2.atlas,base_b08_0.ssrc,92557136,1872794624,2528,21082,1,0,0,78270,fac1b6bdacd9b28e,18,8,60
spine_effect,main,effect/screen_water_fx_all2.scsp,base_b16_0.ssrc,74840880,3327844688,48293,68179,1,0,0,53986,ad44bb7ee95c1726,18,16,67
spine_effect,main,effect/screen_water_fx_all2.sct,base_b12_0.ssrc,93315040,2687334816,486791,527024,1,0,0,17309,377323ab5b8bbd72,18,12,64
model,main,model/30048.atlas,base_b17_0.ssrc,189978624,3668649472,3968,21696,1,0,0,59862,bf7a3dfa0709eafd,18,17,68
model,main,model/30048.scsp,base_b12_0.ssrc,179097888,2773117664,965319,1233193,1,0,0,19555,3ed95e4b98329244,18,12,64
model,main,model/30048.sct,base_b11_0.ssrc,177584848,2557419776,361353,379022,1,0,0,44647,8eec0c0cc1cf4c63,18,11,63
model,main,model/30048_battle_ready.atlas,base_b03_0.ssrc,171691104,852838608,2591,11448,1,0,0,3860,0c6a7671e2b39719,18,3,55
model,main,model/30048_battle_ready.scsp,base_13_s13_b03_0.ssrc,88389376,214931504,180945,200417,1,0,0,62961,c924ddd14f113f93,17,3,50
model,main,model/30048_battle_ready.sct,base_b01_0.ssrc,191599840,424395440,580248,617231,1,0,0,69444,ddd37739da8d546f,18,1,53
model_config,main,model_data/30048.srcs,base_b16_0.ssrc,210380784,3463384592,297,1654,1,0,0,60902,c2aabb0f8eb4130c,18,16,67
model_config,main,model_data/30048.srmd,base_b17_0.ssrc,202312272,3680983120,12624,156025,1,0,0,9764,1f7861578a4ce9d5,18,17,68
model_config,main,model_data/30048.srue,base_b11_0.ssrc,189791696,2569626624,369,1011,1,0,0,60205,c06e7f5e8011afb3,18,11,63
model_config,main,model_data/30048_battle_ready.brmd,base_b14_0.ssrc,190669456,3001031360,1313,8426,1,0,0,31445,64ce9a788edf9ede,18,14,65
